,city,country,id,last_update,pollutant_avg,pollutant_id,pollutant_max,pollutant_min,pollutant_unit,state,station
39,Muzaffarpur,India,40,17-03-2018 08:00:00,117,NO2,217,81,,Bihar,"Muzaffarpur Collectorate,Muzaffarpur - BSPCB"
40,Muzaffarpur,India,41,17-03-2018 08:00:00,37,SO2,103,1,,Bihar,"Muzaffarpur Collectorate,Muzaffarpur - BSPCB"
41,Muzaffarpur,India,42,17-03-2018 08:00:00,81,CO,106,72,,Bihar,"Muzaffarpur Collectorate,Muzaffarpur - BSPCB"
42,Muzaffarpur,India,43,17-03-2018 08:00:00,138,OZONE,183,24,,Bihar,"Muzaffarpur Collectorate,Muzaffarpur - BSPCB"
43,Patna,India,44,17-03-2018 08:00:00,193,PM2.5,321,82,,Bihar,"IGSC Planetarium Complex, Patna - BSPCB"
44,Patna,India,45,17-03-2018 08:00:00,48,NO2,69,25,,Bihar,"IGSC Planetarium Complex, Patna - BSPCB"
45,Patna,India,46,17-03-2018 08:00:00,60,SO2,77,48,,Bihar,"IGSC Planetarium Complex, Patna - BSPCB"
46,Patna,India,47,17-03-2018 08:00:00,73,CO,102,37,,Bihar,"IGSC Planetarium Complex, Patna - BSPCB"
47,Patna,India,48,17-03-2018 08:00:00,102,OZONE,153,28,,Bihar,"IGSC Planetarium Complex, Patna - BSPCB"
48,Delhi,India,49,17-03-2018 08:00:00,NA,PM2.5,NA,NA,,Delhi,"Anand Vihar, New Delhi - DPCC"
49,Delhi,India,50,17-03-2018 08:00:00,NA,PM10,NA,NA,,Delhi,"Anand Vihar, New Delhi - DPCC"
50,Delhi,India,51,17-03-2018 08:00:00,NA,NO2,NA,NA,,Delhi,"Anand Vihar, New Delhi - DPCC"
51,Delhi,India,52,17-03-2018 08:00:00,NA,NH3,NA,NA,,Delhi,"Anand Vihar, New Delhi - DPCC"
52,Delhi,India,53,17-03-2018 08:00:00,NA,SO2,NA,NA,,Delhi,"Anand Vihar, New Delhi - DPCC"
53,Delhi,India,54,17-03-2018 08:00:00,NA,CO,NA,NA,,Delhi,"Anand Vihar, New Delhi - DPCC"
54,Delhi,India,55,17-03-2018 08:00:00,NA,OZONE,NA,NA,,Delhi,"Anand Vihar, New Delhi - DPCC"
55,Delhi,India,56,17-03-2018 08:00:00,134,PM2.5,314,50,,Delhi,"Aya Nagar, New Delhi - IMD"
56,Delhi,India,57,17-03-2018 08:00:00,102,PM10,186,50,,Delhi,"Aya Nagar, New Delhi - IMD"
57,Delhi,India,58,17-03-2018 08:00:00,22,NO2,25,18,,Delhi,"Aya Nagar, New Delhi - IMD"
58,Delhi,India,59,17-03-2018 08:00:00,45,CO,66,42,,Delhi,"Aya Nagar, New Delhi - IMD"
59,Delhi,India,60,17-03-2018 08:00:00,52,OZONE,58,25,,Delhi,"Aya Nagar, New Delhi - IMD"
60,Delhi,India,61,17-03-2018 08:00:00,219,PM2.5,302,82,,Delhi,"Burari Crossing, New Delhi - IMD"
61,Delhi,India,62,17-03-2018 08:00:00,135,PM10,164,79,,Delhi,"Burari Crossing, New Delhi - IMD"
62,Delhi,India,63,17-03-2018 08:00:00,52,NO2,57,41,,Delhi,"Burari Crossing, New Delhi - IMD"
63,Delhi,India,64,17-03-2018 08:00:00,56,CO,56,37,,Delhi,"Burari Crossing, New Delhi - IMD"
64,Delhi,India,65,17-03-2018 08:00:00,18,OZONE,33,18,,Delhi,"Burari Crossing, New Delhi - IMD"
65,Delhi,India,66,17-03-2018 08:00:00,217,PM2.5,437,102,,Delhi,"CRRI Mathura Road, New Delhi - IMD"
66,Delhi,India,67,17-03-2018 08:00:00,152,PM10,273,85,,Delhi,"CRRI Mathura Road, New Delhi - IMD"
67,Delhi,India,68,17-03-2018 08:00:00,38,NO2,42,30,,Delhi,"CRRI Mathura Road, New Delhi - IMD"
68,Delhi,India,69,17-03-2018 08:00:00,67,CO,109,32,,Delhi,"CRRI Mathura Road, New Delhi - IMD"
69,Delhi,India,70,17-03-2018 08:00:00,28,OZONE,65,10,,Delhi,"CRRI Mathura Road, New Delhi - IMD"
70,Delhi,India,71,17-03-2018 08:00:00,208,PM2.5,378,42,,Delhi,"DTU, New Delhi - CPCB"
71,Delhi,India,72,17-03-2018 08:00:00,10,NO2,15,5,,Delhi,"DTU, New Delhi - CPCB"
72,Delhi,India,73,17-03-2018 08:00:00,9,NH3,10,8,,Delhi,"DTU, New Delhi - CPCB"
73,Delhi,India,74,17-03-2018 08:00:00,117,PM2.5,316,29,,Delhi,"IGI Airport Terminal - 3, New Delhi - IMD"
74,Delhi,India,75,17-03-2018 08:00:00,111,PM10,177,56,,Delhi,"IGI Airport Terminal - 3, New Delhi - IMD"
75,Delhi,India,76,17-03-2018 08:00:00,29,NO2,34,25,,Delhi,"IGI Airport Terminal - 3, New Delhi - IMD"
76,Delhi,India,77,17-03-2018 08:00:00,63,CO,96,56,,Delhi,"IGI Airport Terminal - 3, New Delhi - IMD"
77,Delhi,India,78,17-03-2018 08:00:00,41,OZONE,48,21,,Delhi,"IGI Airport Terminal - 3, New Delhi - IMD"
78,Delhi,India,79,17-03-2018 08:00:00,106,PM2.5,163,31,,Delhi,"IHBAS, Dilshad Garden,New Delhi - CPCB"
79,Delhi,India,80,17-03-2018 08:00:00,26,NO2,49,19,,Delhi,"IHBAS, Dilshad Garden,New Delhi - CPCB"
80,Delhi,India,81,17-03-2018 08:00:00,4,NH3,7,1,,Delhi,"IHBAS, Dilshad Garden,New Delhi - CPCB"
81,Delhi,India,82,17-03-2018 08:00:00,11,SO2,24,1,,Delhi,"IHBAS, Dilshad Garden,New Delhi - CPCB"
82,Delhi,India,83,17-03-2018 08:00:00,37,CO,55,10,,Delhi,"IHBAS, Dilshad Garden,New Delhi - CPCB"
83,Delhi,India,84,17-03-2018 08:00:00,118,PM2.5,347,27,,Delhi,"ITO, New Delhi - CPCB"
84,Delhi,India,85,17-03-2018 08:00:00,110,PM10,221,61,,Delhi,"ITO, New Delhi - CPCB"
85,Delhi,India,86,17-03-2018 08:00:00,75,NO2,104,48,,Delhi,"ITO, New Delhi - CPCB"
86,Delhi,India,87,17-03-2018 08:00:00,7,NH3,9,5,,Delhi,"ITO, New Delhi - CPCB"
87,Delhi,India,88,17-03-2018 08:00:00,NA,PM2.5,NA,NA,,Delhi,"Lodhi Road, New Delhi - IMD"
88,Delhi,India,89,17-03-2018 08:00:00,NA,PM10,NA,NA,,Delhi,"Lodhi Road, New Delhi - IMD"
89,Delhi,India,90,17-03-2018 08:00:00,NA,NO2,NA,NA,,Delhi,"Lodhi Road, New Delhi - IMD"
90,Delhi,India,91,17-03-2018 08:00:00,88,CO,126,29,,Delhi,"Lodhi Road, New Delhi - IMD"
91,Delhi,India,92,17-03-2018 08:00:00,54,OZONE,56,12,,Delhi,"Lodhi Road, New Delhi - IMD"
92,Delhi,India,93,17-03-2018 08:00:00,185,PM2.5,361,30,,Delhi,"Mandir Marg, New Delhi - DPCC"
93,Delhi,India,94,17-03-2018 08:00:00,158,PM10,256,97,,Delhi,"Mandir Marg, New Delhi - DPCC"
94,Delhi,India,95,17-03-2018 08:00:00,57,NO2,90,24,,Delhi,"Mandir Marg, New Delhi - DPCC"
95,Delhi,India,96,17-03-2018 08:00:00,4,NH3,6,3,,Delhi,"Mandir Marg, New Delhi - DPCC"
96,Delhi,India,97,17-03-2018 08:00:00,25,SO2,51,8,,Delhi,"Mandir Marg, New Delhi - DPCC"
97,Delhi,India,98,17-03-2018 08:00:00,23,CO,77,21,,Delhi,"Mandir Marg, New Delhi - DPCC"
98,Delhi,India,99,17-03-2018 08:00:00,86,OZONE,92,4,,Delhi,"Mandir Marg, New Delhi - DPCC"
99,Delhi,India,100,17-03-2018 08:00:00,206,PM2.5,300,92,,Delhi,"NSIT Dwarka, New Delhi - CPCB"
100,Delhi,India,101,17-03-2018 08:00:00,40,NO2,50,31,,Delhi,"NSIT Dwarka, New Delhi - CPCB"
101,Delhi,India,102,17-03-2018 08:00:00,17,SO2,27,8,,Delhi,"NSIT Dwarka, New Delhi - CPCB"
102,Delhi,India,103,17-03-2018 08:00:00,22,CO,33,17,,Delhi,"NSIT Dwarka, New Delhi - CPCB"
103,Delhi,India,104,17-03-2018 08:00:00,52,OZONE,59,7,,Delhi,"NSIT Dwarka, New Delhi - CPCB"
104,Delhi,India,105,17-03-2018 08:00:00,80,PM2.5,306,5,,Delhi,"North Campus, DU, New Delhi - IMD"
105,Delhi,India,106,17-03-2018 08:00:00,166,PM10,266,118,,Delhi,"North Campus, DU, New Delhi - IMD"
106,Delhi,India,107,17-03-2018 08:00:00,6,NO2,6,6,,Delhi,"North Campus, DU, New Delhi - IMD"
107,Delhi,India,108,17-03-2018 08:00:00,48,CO,58,43,,Delhi,"North Campus, DU, New Delhi - IMD"
108,Delhi,India,109,17-03-2018 08:00:00,17,OZONE,18,15,,Delhi,"North Campus, DU, New Delhi - IMD"
109,Delhi,India,110,17-03-2018 08:00:00,NA,PM2.5,NA,NA,,Delhi,"Punjabi Bagh, New Delhi - DPCC"
110,Delhi,India,111,17-03-2018 08:00:00,NA,PM10,NA,NA,,Delhi,"Punjabi Bagh, New Delhi - DPCC"
111,Delhi,India,112,17-03-2018 08:00:00,NA,NO2,NA,NA,,Delhi,"Punjabi Bagh, New Delhi - DPCC"
112,Delhi,India,113,17-03-2018 08:00:00,NA,NH3,NA,NA,,Delhi,"Punjabi Bagh, New Delhi - DPCC"
113,Delhi,India,114,17-03-2018 08:00:00,NA,SO2,NA,NA,,Delhi,"Punjabi Bagh, New Delhi - DPCC"
114,Delhi,India,115,17-03-2018 08:00:00,NA,CO,NA,NA,,Delhi,"Punjabi Bagh, New Delhi - DPCC"
115,Delhi,India,116,17-03-2018 08:00:00,NA,OZONE,NA,NA,,Delhi,"Punjabi Bagh, New Delhi - DPCC"
116,Delhi,India,117,17-03-2018 08:00:00,79,PM2.5,235,33,,Delhi,"Pusa, New Delhi - IMD"
117,Delhi,India,118,17-03-2018 08:00:00,110,PM10,201,75,,Delhi,"Pusa, New Delhi - IMD"
118,Delhi,India,119,17-03-2018 08:00:00,24,NO2,29,15,,Delhi,"Pusa, New Delhi - IMD"
119,Delhi,India,120,17-03-2018 08:00:00,101,CO,105,99,,Delhi,"Pusa, New Delhi - IMD"
120,Delhi,India,121,17-03-2018 08:00:00,7,OZONE,10,1,,Delhi,"Pusa, New Delhi - IMD"
121,Delhi,India,122,17-03-2018 08:00:00,228,PM2.5,358,78,,Delhi,"R K Puram, New Delhi - DPCC"
122,Delhi,India,123,17-03-2018 08:00:00,186,PM10,244,135,,Delhi,"R K Puram, New Delhi - DPCC"
123,Delhi,India,124,17-03-2018 08:00:00,83,NO2,114,35,,Delhi,"R K Puram, New Delhi - DPCC"
124,Delhi,India,125,17-03-2018 08:00:00,8,NH3,10,3,,Delhi,"R K Puram, New Delhi - DPCC"
125,Delhi,India,126,17-03-2018 08:00:00,40,SO2,105,4,,Delhi,"R K Puram, New Delhi - DPCC"
126,Delhi,India,127,17-03-2018 08:00:00,36,CO,103,30,,Delhi,"R K Puram, New Delhi - DPCC"
127,Delhi,India,128,17-03-2018 08:00:00,130,OZONE,132,6,,Delhi,"R K Puram, New Delhi - DPCC"
128,Delhi,India,129,17-03-2018 08:00:00,142,PM2.5,312,71,,Delhi,"Shadipur, New Delhi - CPCB"
129,Delhi,India,130,17-03-2018 08:00:00,39,NO2,59,23,,Delhi,"Shadipur, New Delhi - CPCB"
130,Delhi,India,131,17-03-2018 08:00:00,17,SO2,33,3,,Delhi,"Shadipur, New Delhi - CPCB"
131,Delhi,India,132,17-03-2018 08:00:00,38,CO,98,7,,Delhi,"Shadipur, New Delhi - CPCB"
132,Delhi,India,133,17-03-2018 08:00:00,70,OZONE,84,4,,Delhi,"Shadipur, New Delhi - CPCB"
133,Delhi,India,134,17-03-2018 08:00:00,157,PM2.5,339,29,,Delhi,"Sirifort, New Delhi - CPCB"
134,Delhi,India,135,17-03-2018 08:00:00,55,NO2,82,30,,Delhi,"Sirifort, New Delhi - CPCB"
135,Delhi,India,136,17-03-2018 08:00:00,6,NH3,9,4,,Delhi,"Sirifort, New Delhi - CPCB"
136,Ahmedabad,India,137,17-03-2018 08:00:00,245,PM2.5,431,84,,Gujarat,"Maninagar, Ahmedabad - GPCB"
137,Ahmedabad,India,138,17-03-2018 08:00:00,121,NO2,299,44,,Gujarat,"Maninagar, Ahmedabad - GPCB"
138,Ahmedabad,India,139,17-03-2018 08:00:00,87,SO2,133,17,,Gujarat,"Maninagar, Ahmedabad - GPCB"
139,Ahmedabad,India,140,17-03-2018 08:00:00,24,CO,156,1,,Gujarat,"Maninagar, Ahmedabad - GPCB"
140,Ahmedabad,India,141,17-03-2018 08:00:00,79,OZONE,101,11,,Gujarat,"Maninagar, Ahmedabad - GPCB"
141,Faridabad,India,142,17-03-2018 08:00:00,136,PM2.5,315,17,,Haryana,"Sector- 16A, Faridabad, Haryana - HSPCB"
142,Faridabad,India,143,17-03-2018 08:00:00,68,NO2,86,54,,Haryana,"Sector- 16A, Faridabad, Haryana - HSPCB"
143,Faridabad,India,144,17-03-2018 08:00:00,18,SO2,28,3,,Haryana,"Sector- 16A, Faridabad, Haryana - HSPCB"
144,Faridabad,India,145,17-03-2018 08:00:00,81,OZONE,96,2,,Haryana,"Sector- 16A, Faridabad, Haryana - HSPCB"
145,Gurgaon,India,146,17-03-2018 08:00:00,150,PM2.5,344,49,,Haryana,"Vikas Sadan, Gurgaon, Haryana - HSPCB"
146,Gurgaon,India,147,17-03-2018 08:00:00,30,NO2,32,27,,Haryana,"Vikas Sadan, Gurgaon, Haryana - HSPCB"
147,Gurgaon,India,148,17-03-2018 08:00:00,19,SO2,30,9,,Haryana,"Vikas Sadan, Gurgaon, Haryana - HSPCB"
148,Gurgaon,India,149,17-03-2018 08:00:00,32,CO,132,19,,Haryana,"Vikas Sadan, Gurgaon, Haryana - HSPCB"
149,Gurgaon,India,150,17-03-2018 08:00:00,103,OZONE,123,5,,Haryana,"Vikas Sadan, Gurgaon, Haryana - HSPCB"
150,Rohtak,India,151,17-03-2018 08:00:00,151,PM2.5,303,38,,Haryana,"MD University, Rohtak, Haryana - HSPCB"
151,Rohtak,India,152,17-03-2018 08:00:00,20,NO2,30,18,,Haryana,"MD University, Rohtak, Haryana - HSPCB"
152,Rohtak,India,153,17-03-2018 08:00:00,24,SO2,136,5,,Haryana,"MD University, Rohtak, Haryana - HSPCB"
153,Rohtak,India,154,17-03-2018 08:00:00,33,CO,73,2,,Haryana,"MD University, Rohtak, Haryana - HSPCB"
154,Rohtak,India,155,17-03-2018 08:00:00,27,OZONE,31,22,,Haryana,"MD University, Rohtak, Haryana - HSPCB"
